asn_number,SOA,txt,Server_name,mx,AAAA,CNAME,A,country_code,Ns,ip_address,ptr
AS4847 China Networks Inter-Exchange,,,,,,,,CN,,58.128.228.168,
AS5588 T-Mobile Czech Republic a.s.,,,172.31.0.2,,,,85.9.27.1,RO,,85.9.27.130,s13
AS5602 KPNQwest Italia S.p.a,,,172.31.0.2,,,,5.150.143.2,IT,,5.150.143.208,board1
AS6724 STRATO AG,,,172.31.0.2,10 mx.54492085.de.strato-hosting.eu.,2a01:238:4380:.169.251.136,webagentur-schwab.com.
AS6830 Liberty Global Operations B.V.,,,172.31.0.2,,,,85.158.232.3,CH,,85.158.232
AS5588 T-Mobile Czech Republic a.s.,,,172.31.0.2,,,,85.9.27.1,RO,,85.9.27.130,s13
AS8447 A1 Telekom Austria AG,,,,,,,,AT,,195.3.124.25,
AS8972 PlusServer AG,,,172.31.0.2,,,,62.75.229.1,DE,ns5.nameserverservice.de_host
AS9009 M247 Ltd,,,,,,,,RO,,89.40.181.34,
AS9009 M247 Ltd,,,,,,,,RO,,89.40.181.60,
AS12371 avency GmbH,,,172.31.0.2,,,,195.60.109.1,DE,,195.60.109.14,mail.cc-isobus
AS12637 Seeweb s.r.l.,,v=spf1 a -all,172.31.0.2,,,,217.194.6.3,IT,,217.194.6.34,v
AS12850 Enter S.r.l.,,,172.31.0.2,,,,80.247.79.1,IT,,80.247.79.174,mail.360at.net
AS12874 Fastweb SpA,,,172.31.0.2,,,,2.228.70.1,IT,,2.228.70.140,2-228-70-140.ip19
AS12876 ONLINE S.A.S.,,,172.31.0.2,,,,195.154.216.1,FR,,195.154.216.188,195-154-2
"AS13335 CloudFlare, Inc.",,,,,,,,US,,104.18.36.109,
"AS13335 CloudFlare, Inc.",,,,,,,,US,,104.18.36.254,
"AS13335 CloudFlare, Inc.",,,,,,,,US,,104.18.39.66,
"AS13335 CloudFlare, Inc.",,,,,,,,US,,104.18.43.186,
"AS13335 CloudFlare, Inc.",,,,,,,,US,,104.18.47.34,
"AS13335 CloudFlare, Inc.",,,,,,,,US,,104.18.50.9,
"AS13335 CloudFlare, Inc.",,,,,,,,US,,104.18.61.128,
